2022-11-16T17:11:44.736372+0200 :: INFO :: program starting
2022-11-16T17:11:45.925540+0200 :: INFO :: parsing url done
2022-11-16T17:11:46.489354+0200 :: INFO :: http://chicagosteelhockeyteam.com/news_article/show/898682 - available
2022-11-16T17:11:46.833893+0200 :: INFO :: http://newspr.es/2GbzLE0 - available
2022-11-16T17:11:47.177767+0200 :: INFO :: http://bit.ly/2FN9tIE - available
2022-11-16T17:11:47.419846+0200 :: INFO :: http://bit.ly/2u7p2Fj - available
2022-11-16T17:11:47.996398+0200 :: INFO :: http://ow.ly/Y1pT30j3k6R - available
2022-11-16T17:11:48.332240+0200 :: INFO :: http://ti.me/2FPQUnp - available
2022-11-16T17:11:48.626676+0200 :: INFO :: http://bit.ly/2DFExUN - available
2022-11-16T17:11:49.270563+0200 :: INFO :: http://on.forbes.com/6011DVYx9 - available
2022-11-16T17:11:49.509808+0200 :: INFO :: http://bit.ly/2aWvpTB - available
2022-11-16T17:11:49.775297+0200 :: INFO :: http://bit.ly/2aVdCWB - available
2022-11-16T17:11:50.079188+0200 :: INFO :: http://bit.ly/2HKM5Ir - available
2022-11-16T17:11:50.465041+0200 :: INFO :: http://mayocl.in/2IBJAcF - available
2022-11-16T17:11:50.906383+0200 :: INFO :: http://entm.ag/qck - available
2022-11-16T17:11:51.130135+0200 :: INFO :: http://bit.ly/2FOSqGe - available
2022-11-16T17:11:51.353945+0200 :: INFO :: http://bit.ly/2psfdNN - available
2022-11-16T17:11:51.826893+0200 :: INFO :: http://www.floridarealtors.org/NewsAndEvents/article.cfm?id=363796 - available
2022-11-16T17:11:53.629559+0200 :: INFO :: https://veteransemployment.gov.au/finalist_announcement - available
2022-11-16T17:11:53.948143+0200 :: INFO :: http://bit.ly/2kpyAqW - available
2022-11-16T17:11:54.416753+0200 :: INFO :: https://wp.me/p14QSB-azon - available
2022-11-16T17:11:55.084337+0200 :: INFO :: http://dlvr.it/QLnrQg - available
2022-11-16T17:11:55.347341+0200 :: INFO :: http://bit.ly/2GKTNmp - available
2022-11-16T17:11:55.610351+0200 :: INFO :: http://bit.ly/2u5q1Gv - available
2022-11-16T17:11:55.967776+0200 :: INFO :: http://aaronshara.com/nocost/ - available
2022-11-16T17:11:56.181519+0200 :: INFO :: http://ti.me/2FNliOZ - available
2022-11-16T17:11:56.662818+0200 :: INFO :: http://for.tn/2IAqOTb - available
2022-11-16T17:11:57.089913+0200 :: INFO :: http://bit.ly/2proUMw - available
2022-11-16T17:12:02.096517+0200 :: ERROR :: http://s.ctx.ly/r/1113r - HTTPConnectionPool(host='s.ctx.ly', port=80): Max retries exceeded with url: /r/1113r (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x1054ee4d0>, 'Connection to s.ctx.ly timed out. (connect timeout=5)'))
2022-11-16T17:12:02.610953+0200 :: INFO :: http://bit.ly/2psTwMZ - available
2022-11-16T17:12:02.937678+0200 :: INFO :: http://bit.ly/2pu4cvq - available
2022-11-16T17:12:03.948391+0200 :: INFO :: http://etsy.me/2rMKyxl - available
2022-11-16T17:12:04.174941+0200 :: INFO :: http://bit.ly/2biH8tD - available
2022-11-16T17:12:04.412786+0200 :: INFO :: http://bit.ly/2bcHq25 - available
2022-11-16T17:12:04.891972+0200 :: INFO :: http://bit.ly/2txBmz0 - available
2022-11-16T17:12:05.311510+0200 :: INFO :: https://www.instagram.com/p/BgkKZbMlT9I/ - available
2022-11-16T17:12:05.554928+0200 :: INFO :: http://bit.ly/2GbenPg - available
2022-11-16T17:12:05.799894+0200 :: INFO :: http://bit.ly/2DGLzsw - available
2022-11-16T17:12:05.940612+0200 :: INFO :: http://www.abc-7.com - available
2022-11-16T17:12:06.283390+0200 :: INFO :: http://www.richmond.com/news/closings/richmond-area-school-closings-and-delays-for-wednesday-s-inclement/article_d198959e-dc2d-11e7-abd3-6bf8da0f568c.html - available
2022-11-16T17:12:06.661522+0200 :: INFO :: http://on.forbes.com/6019DVYvP - available
2022-11-16T17:12:07.213815+0200 :: INFO :: https://goo.gl/YMn4Zu - available
2022-11-16T17:12:07.860131+0200 :: INFO :: http://ow.ly/2Lv050gW16U - available
2022-11-16T17:12:08.114262+0200 :: INFO :: http://bit.ly/2uargo2 - available
2022-11-16T17:12:08.690563+0200 :: INFO :: http://ow.ly/qTP050gW0F9 - available
2022-11-16T17:12:09.197173+0200 :: INFO :: https://twitter.com/marcwest757/status/976215734215987200 - available
2022-11-16T17:12:12.112696+0200 :: INFO :: https://pilotonline.com/sports/baseball/norfolk-tides/article_3f943377-01f2-5d9b-a6dc-0ee44a883c2f.html - available
2022-11-16T17:12:12.365581+0200 :: INFO :: http://bit.ly/2FMHQiU - available
2022-11-16T17:12:12.608514+0200 :: INFO :: http://etsy.me/2qJ85vR - available
2022-11-16T17:12:12.848163+0200 :: INFO :: http://bit.ly/2biHgtk - available
2022-11-16T17:12:13.087634+0200 :: INFO :: http://bit.ly/2nek2KU - available
2022-11-16T17:12:13.336221+0200 :: INFO :: http://ti.me/2FW0Uap - available
2022-11-16T17:12:13.669156+0200 :: INFO :: http://bit.ly/2GRNVbr - available
2022-11-16T17:12:14.161928+0200 :: INFO :: https://wp.me/p14QSB-azoi - available
2022-11-16T17:12:15.620399+0200 :: INFO :: https://blogs.mcafee.jp/blueborne-vulnerability-prevention - available
2022-11-16T17:12:15.893698+0200 :: INFO :: http://bit.ly/2IBIwFG - available
2022-11-16T17:12:16.137742+0200 :: INFO :: http://bit.ly/2FONGR5 - available
2022-11-16T17:12:16.753433+0200 :: INFO :: https://mcafee.ly/2GLIHh2 - available
2022-11-16T17:12:17.026686+0200 :: INFO :: http://ti.me/2FWwLYE - available
2022-11-16T17:12:17.512184+0200 :: INFO :: https://www.instagram.com/p/BgkH12xHdqU/ - available
2022-11-16T17:12:17.834681+0200 :: INFO :: http://bit.ly/2FSna9q - available
2022-11-16T17:12:18.316650+0200 :: INFO :: http://nplsne.ws/2u5hXpg - available
2022-11-16T17:12:18.953556+0200 :: INFO :: http://ow.ly/nDOI30j3DJv - available
2022-11-16T17:12:19.316761+0200 :: INFO :: http://www.richmond.com/weather/update-winter-weather-advisory-issued-for-richmond-area-starting-at/article_0590ace4-cb51-5b82-b773-f8de89119c12.html - available
2022-11-16T17:12:19.557202+0200 :: INFO :: http://ti.me/2IEFJLR - available
2022-11-16T17:12:19.938718+0200 :: INFO :: http://bit.ly/2HQCIai - available
2022-11-16T17:12:20.383504+0200 :: INFO :: http://for.tn/2FY9m9c - available
2022-11-16T17:12:20.659243+0200 :: INFO :: http://bit.ly/2GKf3ZJ - available
2022-11-16T17:12:20.902109+0200 :: INFO :: http://bit.ly/2HSjxNf - available
2022-11-16T17:12:21.684458+0200 :: INFO :: http://ow.ly/rl1g30j43k7 - available
2022-11-16T17:12:22.058170+0200 :: INFO :: https://www.facebook.com/WINKNewsTV/videos/10156205378739161/ - available
2022-11-16T17:12:22.311041+0200 :: INFO :: http://bit.ly/2G6QWX7 - available
2022-11-16T17:12:22.311416+0200 :: INFO :: check availability done
2022-11-16T17:12:23.555229+0200 :: INFO :: http://chicagosteelhockeyteam.com/news_article/show/898682 - unshorten
2022-11-16T17:12:24.181841+0200 :: INFO :: http://newspr.es/2GbzLE0 - unshorten
2022-11-16T17:12:30.109388+0200 :: ERROR :: http://bit.ly/2FN9tIE - cant unshorten
2022-11-16T17:12:31.281825+0200 :: INFO :: http://bit.ly/2u7p2Fj - unshorten
2022-11-16T17:12:32.415328+0200 :: INFO :: http://ow.ly/Y1pT30j3k6R - unshorten
2022-11-16T17:12:34.377046+0200 :: INFO :: http://ti.me/2FPQUnp - unshorten
2022-11-16T17:12:40.075173+0200 :: ERROR :: http://bit.ly/2DFExUN - cant unshorten
2022-11-16T17:12:40.835671+0200 :: INFO :: http://on.forbes.com/6011DVYx9 - unshorten
2022-11-16T17:12:41.624182+0200 :: INFO :: http://bit.ly/2aWvpTB - unshorten
2022-11-16T17:12:42.329842+0200 :: INFO :: http://bit.ly/2aVdCWB - unshorten
2022-11-16T17:12:42.904740+0200 :: INFO :: http://bit.ly/2HKM5Ir - unshorten
2022-11-16T17:12:45.237664+0200 :: INFO :: http://mayocl.in/2IBJAcF - unshorten
2022-11-16T17:12:46.381259+0200 :: INFO :: http://entm.ag/qck - unshorten
2022-11-16T17:12:48.424069+0200 :: INFO :: http://bit.ly/2FOSqGe - unshorten
2022-11-16T17:12:50.019704+0200 :: INFO :: http://bit.ly/2psfdNN - unshorten
2022-11-16T17:12:52.005483+0200 :: INFO :: http://www.floridarealtors.org/NewsAndEvents/article.cfm?id=363796 - unshorten
2022-11-16T17:13:00.725161+0200 :: ERROR :: https://veteransemployment.gov.au/finalist_announcement - cant unshorten
2022-11-16T17:13:01.646150+0200 :: INFO :: http://bit.ly/2kpyAqW - unshorten
2022-11-16T17:13:02.729639+0200 :: INFO :: https://wp.me/p14QSB-azon - unshorten
2022-11-16T17:13:04.391311+0200 :: INFO :: http://dlvr.it/QLnrQg - unshorten
2022-11-16T17:13:04.936236+0200 :: INFO :: http://bit.ly/2GKTNmp - unshorten
2022-11-16T17:13:07.279042+0200 :: INFO :: http://bit.ly/2u5q1Gv - unshorten
2022-11-16T17:13:08.253768+0200 :: INFO :: http://aaronshara.com/nocost/ - unshorten
2022-11-16T17:13:10.062028+0200 :: INFO :: http://ti.me/2FNliOZ - unshorten
2022-11-16T17:13:10.908986+0200 :: INFO :: http://for.tn/2IAqOTb - unshorten
2022-11-16T17:13:11.858476+0200 :: INFO :: http://bit.ly/2proUMw - unshorten
2022-11-16T17:13:14.373389+0200 :: INFO :: http://bit.ly/2psTwMZ - unshorten
2022-11-16T17:13:15.168786+0200 :: INFO :: http://bit.ly/2pu4cvq - unshorten
2022-11-16T17:13:16.939958+0200 :: INFO :: http://etsy.me/2rMKyxl - unshorten
2022-11-16T17:13:17.786727+0200 :: INFO :: http://bit.ly/2biH8tD - unshorten
2022-11-16T17:13:18.643745+0200 :: INFO :: http://bit.ly/2bcHq25 - unshorten
2022-11-16T17:13:20.414959+0200 :: INFO :: http://bit.ly/2txBmz0 - unshorten
2022-11-16T17:13:20.740480+0200 :: INFO :: https://www.instagram.com/p/BgkKZbMlT9I/ - unshorten
2022-11-16T17:13:21.305194+0200 :: INFO :: http://bit.ly/2GbenPg - unshorten
2022-11-16T17:13:23.072957+0200 :: INFO :: http://bit.ly/2DGLzsw - unshorten
2022-11-16T17:13:24.292398+0200 :: INFO :: http://www.abc-7.com - unshorten
2022-11-16T17:13:24.674530+0200 :: INFO :: http://www.richmond.com/news/closings/richmond-area-school-closings-and-delays-for-wednesday-s-inclement/article_d198959e-dc2d-11e7-abd3-6bf8da0f568c.html - unshorten
2022-11-16T17:13:25.528066+0200 :: INFO :: http://on.forbes.com/6019DVYvP - unshorten
2022-11-16T17:13:27.081934+0200 :: INFO :: https://goo.gl/YMn4Zu - unshorten
